Date,Open,High,Low,Close,Volume
2072-07-11,241.5,241.5,236.5,237.0,6080
2072-07-12,237.0,239.75,233.0,233.5,6493
2072-07-13,234.5,237.0,234.25,236.5,8204
2072-07-14,236.0,237.5,233.5,235.5,7031
2072-07-15,235.5,238.0,235.0,235.75,10411
2072-07-16,236.0,238.0,232.5,236.75,7029
2072-07-17,237.0,239.0,236.0,238.5,2579
2072-07-18,239.0,241.5,238.25,240.5,3775
2072-07-19,241.0,244.5,241.0,243.5,6007
2072-07-20,263.0,264.0,256.5,257.75,17410
2072-07-21,258.0,259.5,256.0,257.25,10389
2072-07-22,257.0,257.75,252.0,254.5,14236
2072-07-23,254.5,256.0,252.0,253.0,14920
2072-07-24,252.75,254.0,250.5,252.25,11778
2072-07-25,253.0,259.5,252.0,259.25,22495
2072-07-26,259.0,263.0,258.75,260.5,24136
2072-07-27,261.25,265.5,259.5,261.25,21956
2072-07-28,268.75,269.0,262.0,268.75,30401
2072-07-29,264.25,270.0,264.0,264.25,26858
2072-07-30,268.25,268.5,264.75,268.25,18516
2072-07-31,268.5,270.0,265.25,267.5,17663
2072-08-01,269.5,273.0,269.0,269.5,21278
2072-08-02,264.0,268.5,262.25,264.0,20203
2072-08-03,265.5,266.75,262.25,265.5,11713
2072-08-04,267.0,267.75,265.5,266.25,9212
2072-08-05,266.25,267.0,264.0,265.5,10316
2072-08-06,265.0,266.25,257.0,260.75,22633
2072-08-07,256.0,257.0,249.0,249.25,20327
2072-08-08,248.75,253.0,248.0,249.75,12423
2072-08-09,248.75,250.0,246.0,247.5,15260
2072-08-10,247.25,252.0,246.75,250.75,11855
2072-08-11,251.5,255.0,251.5,253.5,11377
2072-08-12,253.75,257.0,253.25,254.5,12396
2072-08-13,254.75,259.5,252.75,258.5,15664
2072-08-14,258.75,261.5,258.5,259.25,15589
2072-08-15,265.0,266.0,263.75,265.0,22263
2072-08-16,265.5,272.0,264.0,267.0,16282
2072-08-17,267.25,269.0,263.0,268.75,18317
2072-08-18,268.0,270.5,266.5,267.25,18511
2072-08-19,266.5,268.5,263.25,267.25,16123
2072-08-20,267.0,270.5,266.0,268.0,12910
2072-08-21,267.5,275.5,266.5,275.25,24861
2072-08-22,275.25,278.5,273.5,276.75,24432
2072-08-23,276.75,280.5,272.0,273.5,22584
2072-08-24,272.5,273.5,267.0,267.25,18402
2072-08-25,267.0,271.5,265.5,270.75,13291
2072-08-26,271.0,274.0,265.5,268.5,16869
2072-08-27,260.0,260.5,256.0,256.75,20814
2072-08-28,257.75,258.5,253.0,256.25,19689
2072-08-29,257.5,258.5,253.75,255.5,11692
2072-08-30,255.0,258.0,254.75,256.25,8058
2072-08-31,256.5,260.5,256.25,259.0,11084
2072-09-01,259.0,260.5,254.0,255.5,14380
2072-09-02,256.0,258.5,250.5,254.75,17116
2072-09-03,255.5,257.0,254.5,254.75,12491
2072-09-04,255.0,261.0,255.0,259.75,12256
2072-09-05,260.0,265.0,260.0,264.0,16083
2072-09-06,264.0,266.5,262.0,262.75,13214
2072-09-07,263.0,263.25,260.5,262.25,9286
2072-09-08,263.25,266.0,262.25,265.25,12541
2072-09-09,265.75,266.25,258.0,258.25,18588
2072-09-10,258.25,258.25,254.75,256.75,15127
2072-09-11,258.0,259.0,255.5,257.75,16631
2072-09-12,258.0,259.5,255.25,255.75,14038
2072-09-13,256.0,258.0,254.0,254.5,9463
2072-09-14,272.5,276.5,272.5,274.25,8431
2072-09-15,274.75,277.75,273.0,273.75,10913
2072-09-16,273.0,274.5,271.5,273.5,7866
2072-09-17,273.75,276.25,272.5,275.25,9445
2072-09-18,279.0,280.0,275.0,275.5,26468
2072-09-19,273.5,275.0,272.0,273.25,20305
2072-09-20,273.25,274.0,269.5,269.75,45963
2072-09-21,269.75,274.0,269.0,273.75,28842
2072-09-22,274.0,279.0,273.75,277.75,33935
2072-09-23,278.5,280.5,276.0,279.5,18580
2072-09-24,279.5,280.0,275.0,277.25,14935
2072-09-25,277.0,278.5,275.5,276.75,12040
2072-09-26,277.25,280.0,270.0,270.5,23137
2072-09-27,270.0,274.0,266.5,273.5,19571
2072-09-28,274.5,274.5,270.25,270.75,10002
2072-09-29,270.5,275.0,269.75,270.5,13363
2072-09-30,269.0,273.0,267.0,272.5,14839
2072-10-01,274.0,274.5,268.5,271.0,11468
2072-10-02,271.0,273.0,268.5,272.75,9132
2072-10-03,273.0,277.5,273.0,275.75,15974
2072-10-04,274.0,274.5,270.5,272.75,6076
2072-10-05,272.5,274.5,271.5,271.75,5209
2072-10-06,271.5,280.0,271.5,279.5,15548
2072-10-07,276.25,284.0,275.5,283.25,28519
2072-10-08,283.0,284.5,281.5,284.25,20428
2072-10-09,284.5,284.5,280.0,283.0,19377
2072-10-10,283.5,283.5,278.5,283.0,14095
2072-10-11,282.5,287.5,281.0,285.0,21411
2072-10-12,284.5,289.5,284.5,289.0,25776
2072-10-13,288.5,294.5,285.0,289.75,35153
2072-10-14,289.0,290.0,285.5,289.0,20159
2072-10-15,287.75,288.0,284.0,285.25,16597
2072-10-16,284.5,285.5,282.25,282.5,13880
2072-10-17,283.5,286.75,283.0,284.5,10891
2072-10-18,284.5,287.5,282.0,285.5,17115
2072-10-19,286.0,286.5,282.0,285.25,14687
2072-10-20,285.5,287.0,283.0,285.75,12193
2072-10-21,286.0,286.5,281.5,285.5,17800
2072-10-22,285.5,286.5,278.25,279.0,21819
2072-10-23,279.0,280.5,276.0,276.25,19831
2072-10-24,276.0,276.25,268.0,269.25,36862
2072-10-25,269.25,272.5,268.5,270.5,16869
2072-10-26,270.5,273.5,268.0,273.0,14633
2072-10-27,273.5,273.5,270.0,270.25,13313
2072-10-28,271.0,273.0,269.0,272.0,11251
2072-10-29,272.5,276.0,268.0,268.5,12234
2072-10-30,267.5,269.25,265.25,267.0,21130
2072-10-31,267.0,269.0,266.0,267.0,12631
2072-11-01,267.0,270.5,266.0,266.75,15340
2072-11-02,267.0,269.0,266.0,266.25,10817
2072-11-03,266.0,267.5,261.25,261.75,18542
2072-11-04,262.0,263.5,260.5,263.0,14364
2072-11-05,263.5,269.0,263.0,267.5,17827
2072-11-06,267.0,269.0,263.5,264.25,10065
2072-11-07,278.0,279.5,276.75,278.25,7725
2072-11-08,278.25,279.75,273.0,274.5,22791
2072-11-09,275.0,276.25,270.0,270.5,24016
2072-11-10,271.5,272.0,269.0,271.0,18440
